Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,116.6,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,14.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,19.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,11.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.01,0.0,0.0,9.1
0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,0.01,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3,0.0,19.3,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0
0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,6.3,14.8
0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
